Byron Buxton,.203
Shea Langeliers,.219
Victor Scott II,.250
Andrew Vaughn,.145
Willi Castro,.227
Brandon Lowe,.235
Kyle Manzardo,.190
Zach McKinstry,.254
Max Muncy,.197
Corey Seager,.318
Cody Bellinger,.177
Bryson Stott,.270
Josh Bell,.133
Triston Casas,.172
Carlos Correa,.188
Gavin Lux,.290
Andy Pages,.167
Luis Robert Jr.,.136
Ezequiel Tovar,.212
Mike Yastrzemski,.281
Kerry Carpenter,.292
Colt Keith,.179
Marcell Ozuna,.288
Tommy Pham,.136
Keibert Ruiz,.317
Jordan Westburg,.175
Gabriel Arias,.279
Griffin Conine,.279
Max Kepler,.217
J.T. Realmuto,.217
Matt Shaw,.172
Max Muncy,.172
Michael Toglia,.172
Matt Wallner,.263
Miguel Andujar,.300
Jake Burger,.190
Jasson Dominguez,.241
Ceddanne Rafaela,.213
Luis Garcia Jr.,.180
Ryan Mountcastle,.242
Will Smith,.346
Jonathan Aranda,.382
Christopher Morel,.259
Lenyn Sosa,.279
Tyler Fitzgerald,.310
Adam Frazier,.203
Rhys Hoskins,.245
Taylor Walls,.167
Trey Sweeney,.228
LaMonte Wade Jr.,.096
Austin Wells,.182
Alec Burleson,.263
Yainer Diaz,.155
Jake Mangum,.328
Dylan Crews,.140
Christian Encarnacion-Strand,.158
Kyle Farmer,.345
Hunter Goodman,.222
Edouard Julien,.236
Alejandro Kirk,.250
Tyler O'Neill,.245
Joc Pederson,.057
Alan Roden,.255
George Springer,.385
Garrett Mitchell,.216
Luke Raley,.176
Spencer Steer,.111
Patrick Bailey,.170
Jake Meyers,.308
Kyren Paris,.306
Pavin Smith,.408
Leody Taveras,.211
Paul DeJong,.204
Brenton Doyle,.315
Logan O'Hoppe,.286
Brooks Baldwin,.245
Eric Wagaman,.260
Jo Adell,.235
Joey Bart,.277
Jackson Holliday,.222
Kyle Isbel,.231
Andrew McCutchen,.234
Gavin Sheets,.327
Alex Call,.300
Kike Hernandez,.122
Gabriel Moreno,.234
Brayan Rocchio,.234
Cam Smith,.224
Gio Urshela,.180
Harrison Bader,.280
Danny Jansen,.133
Kameron Misner,.391
Will Wagner,.217
Javier Baez,.265
Santiago Espinal,.277
Justyn-Henry Malloy,.184
MJ Melendez,.085
Carlos Narvaez,.208
Ryan O'Hearn,.326
Graham Pauley,.191
Jorge Polanco,.367
Hunter Renfroe,.130
Tyrone Taylor,.180
Gunnar Henderson,.220
Nolan Jones,.140
Brandon Marsh,.095
Matt Mervis,.239
Dylan Moore,.326
Alek Thomas,.311
Masyn Winn,.222
Bryan De La Cruz,.191
Dillon Dingler,.306
Jake Fraley,.234
Ryan Jeffers,.244
Bo Naylor,.214
Endy Rodriguez,.178
Miguel Amaya,.283
Ernie Clement,.186
Heston Kjerstad,.261
Pedro Pages,.250
Luis Torrens,.255
Enmanuel Valdez,.233
Jonah Heim,.239
Jason Heyward,.190
Liam Hicks,.179
Derek Hill,.167
Jarred Kelenic,.163
Wyatt Langford,.244
Brett Baty,.217
Trent Grisham,.310
Matt McLain,.205
CJ Abrams,.244
Oswaldo Cabrera,.310
Victor Robles,.273
Lane Thomas,.163
Ramon Urias,.333
Jonah Bride,.100
Carson Kelly,.419
Nick Martini,.325
Nick Maton,.158
Brendan Rodgers,.225
Michael A. Taylor,.167
Tim Anderson,.171
Jake Cronenworth,.257
Jose Iglesias,.325
Mickey Moniak,.225
Josh Smith,.342
Jose Trevino,.333
Luisangel Acuna,.263
Josh Jung,.326
Jake McCarthy,.081
Jack Suwinski,.135
Jacob Young,.242
Drake Baldwin,.237
Elias Diaz,.206
Justin Turner,.147
Jesse Winker,.184
Nick Allen,.282
Jacob Amaya,.103
Kris Bryant,.154
Blake Dunn,.161
Oliver Dunn,.167
Jackson Merrill,.378
Rowdy Tellez,.135
Matt Thaiss,.226
Jose Caballero,.294
Ryan Kreidler,.118
Starling Marte,.176
Andrew Benintendi,.278
Ryan Bliss,.200
Andy Ibanez,.171
Jhonkensy Noel,.194
Gleyber Torres,.306
Freddie Freeman,.303
Sean Murphy,.219
Amed Rosario,.270
Cavan Biggio,.200
Brandon Lockridge,.194
Jose Miranda,.167
Javier Sanoja,.303
Kyle Higashioka,.242
Dane Myers,.294
Myles Straw,.355
Mitch Garver,.148
Vinny Capra,.097
Daniel Schneemann,.200
Martan Maldonado,.226
Ketel Marte,.346
Miles Mastrobuoni,.308
Miguel Rojas,.161
Edmundo Sosa,.414
Luken Baker,.250
Randal Grichuk,.296
Curtis Mead,.154
Zac Veen,.107
Mauricio Dubon,.160
Romy Gonzalez,.346
